,link,Proj_name,BHK,Property_type,Area,Area_type,Floor,RERA_status,Property_age,Property_type,Sale_type,Own_type,Furnishing_type,Water_type,Powerbackup,Price
25,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-amanora-trendy-homes-hadapsar-pune-1073-sq-ft-spid-V52994314,"Amanora Trendy Homes Hadapsar, Pune",3BHK,Residential Apartment,1073 sq.ft.,Built-up Area,20th  of 22 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,76 Lac
26,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-amanora-future-towers-hadapsar-pune-762-sq-ft-spid-D52290044,"Amanora Future Towers Hadapsar, Pune",2BHK,Residential Apartment,762 sq.ft.,Super Built-up Area,11st  of 30 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Full,61 Lac
27,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-amanora-future-towers-hadapsar-pune-822-sq-ft-spid-G52640584,"Amanora Future Towers Hadapsar, Pune",2BHK,Residential Apartment,822 sq.ft.,Built-up Area,6th  of 30 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Furnished,NA,None,66 Lac
28,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-amanora-park-town-hadapsar-pune-1074-sq-ft-spid-S52994442,"Amanora Park Town Hadapsar, Pune",3BHK,Residential Apartment,1074 sq.ft.,Built-up Area,20th  of 22 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Partial,76.5 Lac
29,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-s-and-m-the-palazzo-tilekar-vasti-pune-1132-sq-ft-spid-W53231116,"S and M The Palazzo Tilekar Vasti, Pune",2BHK,Residential Apartment,1132 sq.ft.,Super Built-up Area,10th  of 12 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,"Municipal corporation,Borewell/Tank",Partial,70 Lac
30,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-marvel-azure-magarpatta-pune-1826-sq-ft-spid-S55646682,"Marvel Azure Magarpatta, Pune",3BHK,Residential Apartment,1826 sq.ft.,Super Built-up Area,9th  of 11 Floors,NOT AVAILABLE,5 to 10 Year Old,Residential Apartment,Resale,Co-operative Society,Furnished,Municipal corporation,Partial,1.7 Cr
31,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-kumar-picasso-hadapsar-pune-842-sq-ft-spid-U55691042,"Kumar Picasso Hadapsar, Pune",2BHK,Residential Apartment,842 sq.ft.,Carpet Area,7th  of 11 Floors,REGISTERED,0 to 1 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,85 Lac
32,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-leisure-town-hadapsar-pune-743-sq-ft-spid-E55653766,"Leisure Town Hadapsar, Pune",2BHK,Residential Apartment,743 sq.ft.,Carpet Area,7th  of 11 Floors,REGISTERED,Dec 2022,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,56 Lac
33,https://www.99acres.com/3-bhk-bedroom-residential-apartments-for-sale-in-s-and-m-the-palazzo-tilekar-vasti-pune-970-sq-ft-spid-J53231768,"S and M The Palazzo Tilekar Vasti, Pune",3BHK,Residential Apartment,970 sq.ft.,Carpet Area,8th  of 11 Floors,NOT AVAILABLE,1 to 5 Year Old,Residential Apartment,Resale,Freehold,Unfurnished,NA,None,75 Lac
34,https://www.99acres.com/2-bhk-bedroom-residential-apartments-for-sale-in-amanora-trendy-homes-hadapsar-pune-850-sq-ft-spid-N54942990,"Amanora Trendy Homes Hadapsar, Pune",2BHK,Residential Apartment,850 sq.ft.,Super Built-up Area,15th  of 21 Floors,NOT AVAILABLE,0 to 1 Year Old,Residential Apartment,Resale,Leasehold,Semifurnished,Municipal corporation,Full,70 Lac
